,id,title,description,year,overview,genres,desc02,img_link
38794,384798,Kill Command,"Set in a near future, technology-reliant society that pits man against killing machines. Against this backdrop an elite army unit is helicoptered to a remote, off-the-grid island training facility. What starts out as a simple training exercise for Captain Bukes and his tight-knit unit, descends into a terrifying battle to the death, as the marines discover the island is overrun by an enemy that transcends the human concept of evil.You can't fight the future.",2016,"Set in a near future, technology-reliant society that pits man against killing machines. Against this backdrop an elite army unit is helicoptered to a remote, off-the-grid island training facility. What starts out as a simple training exercise for Captain Bukes and his tight-knit unit, descends into a terrifying battle to the death, as the marines discover the island is overrun by an enemy that transcends the human concept of evil.","['Action', 'Horror', 'Science Fiction']",set in a near future technologyreliant society that pits man against killing machines against this backdrop an elite army unit is helicoptered to a remote offthegrid island training facility what starts out as a simple training exercise for captain bukes and his tightknit unit descends into a terrifying battle to the death as the marines discover the island is overrun by an enemy that transcends the human concept of evilyou cant fight the future,https://www.themoviedb.org/movie/384798
38850,291805,Now You See Me 2,"One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.You Haven't Seen Anything Yet",2016,"One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.","['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']",one year after outwitting the fbi and winning the public’s adulation with their mindbending spectacles the four horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yetyou havent seen anything yet,https://www.themoviedb.org/movie/291805
39038,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,"After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.Raise some shell.",2016,"After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.","['Fantasy', 'Action', 'Adventure', 'Comedy']",after supervillain shredder escapes custody he joins forces with mad scientist baxter stockman and two dimwitted henchmen bebop and rocksteady to unleash a diabolical plan to take over the world as the turtles prepare to take on shredder and his new crew they find themselves facing an even greater evil with similar intentions the notorious krangraise some shell,https://www.themoviedb.org/movie/308531
39063,341012,Popstar: Never Stop Never Stopping,"When his new album fails to sell records, pop/rap superstar Conner4real goes into a major tailspin and watches his celebrity high life begin to collapse. He'll try anything to bounce back, anything except reuniting with his old rap group The Style Boyz.",2016,"When his new album fails to sell records, pop/rap superstar Conner4real goes into a major tailspin and watches his celebrity high life begin to collapse. He'll try anything to bounce back, anything except reuniting with his old rap group The Style Boyz.","['Comedy', 'Music']",when his new album fails to sell records poprap superstar  goes into a major tailspin and watches his celebrity high life begin to collapse hell try anything to bounce back anything except reuniting with his old rap group the style boyz,https://www.themoviedb.org/movie/341012
39097,259693,The Conjuring 2,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.The next true story from the case files of Ed and Lorraine Warren,2016,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,['Horror'],lorraine and ed warren travel to north london to help a single mother raising four children alone in a house plagued by malicious spiritsthe next true story from the case files of ed and lorraine warren,https://www.themoviedb.org/movie/259693
39118,328429,Approaching the Unknown,"Captain William Stanaforth is on a one-way solo mission to take the first steps in colonising Mars. Like all pioneers throughout history, Stanaforth will face insurmountable odds and life and death decisions as he rockets bravely through space.",2016,"Captain William Stanaforth is on a one-way solo mission to take the first steps in colonising Mars. Like all pioneers throughout history, Stanaforth will face insurmountable odds and life and death decisions as he rockets bravely through space.","['Thriller', 'Drama', 'Science Fiction']",captain william stanaforth is on a oneway solo mission to take the first steps in colonising mars like all pioneers throughout history stanaforth will face insurmountable odds and life and death decisions as he rockets bravely through space,https://www.themoviedb.org/movie/328429
39149,43074,Ghostbusters,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.Who You Gonna Call?",2016,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.","['Action', 'Fantasy', 'Comedy']",following a ghost invasion of manhattan paranormal enthusiasts erin gilbert and abby yates nuclear engineer jillian holtzmann and subway worker patty tolan band together to stop the otherworldly threatwho you gonna call,https://www.themoviedb.org/movie/43074
39224,302699,Central Intelligence,"After he reunites with an old pal through Facebook, a mild-mannered accountant is lured into the world of international espionage.Saving the world takes a little Hart and a big Johnson",2016,"After he reunites with an old pal through Facebook, a mild-mannered accountant is lured into the world of international espionage.","['Action', 'Comedy']",after he reunites with an old pal through facebook a mildmannered accountant is lured into the world of international espionagesaving the world takes a little hart and a big johnson,https://www.themoviedb.org/movie/302699
39287,324668,Jason Bourne,The most dangerous former operative of the CIA is drawn out of hiding to uncover hidden truths about his past.You know his name,2016,The most dangerous former operative of the CIA is drawn out of hiding to uncover hidden truths about his past.,"['Action', 'Thriller']",the most dangerous former operative of the cia is drawn out of hiding to uncover hidden truths about his pastyou know his name,https://www.themoviedb.org/movie/324668
39331,258489,The Legend of Tarzan,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.Human. Nature.",2016,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.","['Action', 'Adventure']",tarzan having acclimated to life in london is called back to his former home in the jungle to investigate the activities at a mining encampmenthuman nature,https://www.themoviedb.org/movie/258489
39332,316727,The Purge: Election Year,"Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night.Keep America great",2016,"Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night.","['Action', 'Horror', 'Thriller']",two years after choosing not to kill the man who killed his son former police sergeant leo barnes has become head of security for senator charlene roan the front runner in the next presidential election due to her vow to eliminate the purge on the night of what should be the final purge a betrayal from within the government forces barnes and roan out onto the street where they must fight to survive the nightkeep america great,https://www.themoviedb.org/movie/316727
39333,316023,Mike and Dave Need Wedding Dates,"Mike and Dave are young, adventurous, fun-loving brothers who tend to get out of control at family gatherings. When their sister Jeanie reveals her Hawaiian wedding plans, the rest of the Stangles insist that the brothers bring respectable dates. After placing an ad on Craigslist, the siblings decide to pick Tatiana and Alice, two charming and seemingly normal women. Once they arrive on the island, however, Mike and Dave realize that their companions are ready to get wild and party.They needed hot dates. They got hot messes.",2016,"Mike and Dave are young, adventurous, fun-loving brothers who tend to get out of control at family gatherings. When their sister Jeanie reveals her Hawaiian wedding plans, the rest of the Stangles insist that the brothers bring respectable dates. After placing an ad on Craigslist, the siblings decide to pick Tatiana and Alice, two charming and seemingly normal women. Once they arrive on the island, however, Mike and Dave realize that their companions are ready to get wild and party.",['Comedy'],mike and dave are young adventurous funloving brothers who tend to get out of control at family gatherings when their sister jeanie reveals her hawaiian wedding plans the rest of the stangles insist that the brothers bring respectable dates after placing an ad on craigslist the siblings decide to pick tatiana and alice two charming and seemingly normal women once they arrive on the island however mike and dave realize that their companions are ready to get wild and partythey needed hot dates they got hot messes,https://www.themoviedb.org/movie/316023
39360,353571,Tallulah,"Desperate to be rid of her toddler, a dissatisfied Beverly Hills housewife hires a stranger to babysit and ends up getting much more than she bargained for.Life  can be a real mother",2016,"Desperate to be rid of her toddler, a dissatisfied Beverly Hills housewife hires a stranger to babysit and ends up getting much more than she bargained for.","['Comedy', 'Drama', 'Romance']",desperate to be rid of her toddler a dissatisfied beverly hills housewife hires a stranger to babysit and ends up getting much more than she bargained forlife  can be a real mother,https://www.themoviedb.org/movie/353571
39386,399106,Piper,"A mother bird tries to teach her little one how to find food by herself. In the process, she encounters a traumatic experience that she must overcome in order to survive.",2016,"A mother bird tries to teach her little one how to find food by herself. In the process, she encounters a traumatic experience that she must overcome in order to survive.","['Family', 'Animation']",a mother bird tries to teach her little one how to find food by herself in the process she encounters a traumatic experience that she must overcome in order to survive,https://www.themoviedb.org/movie/399106
39463,328387,Nerve,"Industrious high school senior, Vee Delmonico, has had it with living life on the sidelines. When pressured by friends to join the popular online game Nerve, Vee decides to sign up for just one dare in what seems like harmless fun. But as she finds herself caught up in the thrill of the adrenaline-fueled competition partnered with a mysterious stranger, the game begins to take a sinister turn with increasingly dangerous acts, leading her into a high stakes finale that will determine her entire future.Are you a watcher or a player?",2016,"Industrious high school senior, Vee Delmonico, has had it with living life on the sidelines. When pressured by friends to join the popular online game Nerve, Vee decides to sign up for just one dare in what seems like harmless fun. But as she finds herself caught up in the thrill of the adrenaline-fueled competition partnered with a mysterious stranger, the game begins to take a sinister turn with increasingly dangerous acts, leading her into a high stakes finale that will determine her entire future.","['Mystery', 'Adventure', 'Crime']",industrious high school senior vee delmonico has had it with living life on the sidelines when pressured by friends to join the popular online game nerve vee decides to sign up for just one dare in what seems like harmless fun but as she finds herself caught up in the thrill of the adrenalinefueled competition partnered with a mysterious stranger the game begins to take a sinister turn with increasingly dangerous acts leading her into a high stakes finale that will determine her entire futureare you a watcher or a player,https://www.themoviedb.org/movie/328387
39549,401387,Sunspring,"Sunspring is a short film about three people living in a weird future, possibly on a space station, probably in a love triangle. You know it's the future because H (played with neurotic gravity by Silicon Valley's Thomas Middleditch) is wearing a shiny gold jacket, H2 (Elisabeth Gray) is playing with computers, and C (Humphrey Ker) announces that he has to ""go to the skull"" before sticking his face into a bunch of green lights. It sounds like your typical sci-fi B-movie, complete with an incoherent plot. Except Sunspring isn't the product of Hollywood hacks—it was written entirely by an AI. To be specific, it was authored by a recurrent neural network called long short-term memory, or LSTM for short. At least, that's what we'd call it. The AI named itself Benjamin.",2016,"Sunspring is a short film about three people living in a weird future, possibly on a space station, probably in a love triangle. You know it's the future because H (played with neurotic gravity by Silicon Valley's Thomas Middleditch) is wearing a shiny gold jacket, H2 (Elisabeth Gray) is playing with computers, and C (Humphrey Ker) announces that he has to ""go to the skull"" before sticking his face into a bunch of green lights. It sounds like your typical sci-fi B-movie, complete with an incoherent plot. Except Sunspring isn't the product of Hollywood hacks—it was written entirely by an AI. To be specific, it was authored by a recurrent neural network called long short-term memory, or LSTM for short. At least, that's what we'd call it. The AI named itself Benjamin.",['Science Fiction'],sunspring is a short film about three people living in a weird future possibly on a space station probably in a love triangle you know its the future because h played with neurotic gravity by silicon valleys thomas middleditch is wearing a shiny gold jacket  elisabeth gray is playing with computers and c humphrey ker announces that he has to go to the skull before sticking his face into a bunch of green lights it sounds like your typical scifi bmovie complete with an incoherent plot except sunspring isnt the product of hollywood hacks—it was written entirely by an ai to be specific it was authored by a recurrent neural network called long shortterm memory or lstm for short at least thats what wed call it the ai named itself benjamin,https://www.themoviedb.org/movie/401387
39619,373348,Author: The JT LeRoy Story,"New York magazine’s October 2005 issue sent shockwaves through the literary world when it unmasked “it boy” wunderkind JT LeRoy, whose tough prose about his sordid childhood had captivated icons and luminaries internationally. It turned out LeRoy didn’t actually exist. He was dreamed up by 40-year-old San Francisco punk rocker and phone sex operator, Laura Albert.",2016,"New York magazine’s October 2005 issue sent shockwaves through the literary world when it unmasked “it boy” wunderkind JT LeRoy, whose tough prose about his sordid childhood had captivated icons and luminaries internationally. It turned out LeRoy didn’t actually exist. He was dreamed up by 40-year-old San Francisco punk rocker and phone sex operator, Laura Albert.",['Documentary'],new york magazine’s october  issue sent shockwaves through the literary world when it unmasked “it boy” wunderkind jt leroy whose tough prose about his sordid childhood had captivated icons and luminaries internationally it turned out leroy didn’t actually exist he was dreamed up by  san francisco punk rocker and phone sex operator laura albert,https://www.themoviedb.org/movie/373348
39663,338766,Hell or High Water,A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas.Blood always follows money.,2016,A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas.,"['Crime', 'Drama', 'Thriller', 'Western']",a divorced dad and his excon brother resort to a desperate scheme in order to save their familys farm in west texasblood always follows money,https://www.themoviedb.org/movie/338766
39669,390734,Kingsglaive: Final Fantasy XV,"The magical kingdom of Lucis is home to the world’s last remaining Crystal, and the menacing empire of Niflheim is determined to steal it. King Regis of Lucis commands an elite force of soldiers called the Kingsglaive. Wielding their king’s magic, they fight to protect Lucis. As the overwhelming military might of the empire bears down, King Regis is faced with an impossible ultimatum – to marry his son, Prince Noctis to Princess Lunafreya of Tenebrae, captive of Niflheim, and surrender his lands to Niflheim rule.  Although the king concedes, it becomes clear that the empire will stop at nothing to achieve their devious goals, with only the Kingsglaive standing between them and world domination.Kingsglaive: Final Fantasy XV",2016,"The magical kingdom of Lucis is home to the world’s last remaining Crystal, and the menacing empire of Niflheim is determined to steal it. King Regis of Lucis commands an elite force of soldiers called the Kingsglaive. Wielding their king’s magic, they fight to protect Lucis. As the overwhelming military might of the empire bears down, King Regis is faced with an impossible ultimatum – to marry his son, Prince Noctis to Princess Lunafreya of Tenebrae, captive of Niflheim, and surrender his lands to Niflheim rule.  Although the king concedes, it becomes clear that the empire will stop at nothing to achieve their devious goals, with only the Kingsglaive standing between them and world domination.","['Action', 'Animation', 'Adventure', 'Drama', 'Fantasy', 'Science Fiction']",the magical kingdom of lucis is home to the world’s last remaining crystal and the menacing empire of niflheim is determined to steal it king regis of lucis commands an elite force of soldiers called the kingsglaive wielding their king’s magic they fight to protect lucis as the overwhelming military might of the empire bears down king regis is faced with an impossible ultimatum – to marry his son prince noctis to princess lunafreya of tenebrae captive of niflheim and surrender his lands to niflheim rule  although the king concedes it becomes clear that the empire will stop at nothing to achieve their devious goals with only the kingsglaive standing between them and world dominationkingsglaive final fantasy xv,https://www.themoviedb.org/movie/390734
39771,390989,Sharknado 4: The 4th Awakens,"The new installment of the Sharknado franchise takes place 5 years after Sharknado 3: Oh Hell No! There have been no Sharknados in the intervening years, but now they’re appearing again in unexpected ways.What happens in Vegas, stays in Vegas. Unless what happens is this.",2016,"The new installment of the Sharknado franchise takes place 5 years after Sharknado 3: Oh Hell No! There have been no Sharknados in the intervening years, but now they’re appearing again in unexpected ways.","['Comedy', 'Horror', 'Science Fiction']",the new installment of the sharknado franchise takes place  years after sharknado  oh hell no there have been no sharknados in the intervening years but now they’re appearing again in unexpected wayswhat happens in vegas stays in vegas unless what happens is this,https://www.themoviedb.org/movie/390989
40004,392572,Rustom,"Rustom Pavri, an honourable officer of the Indian Navy shoots his friend Vikram  to death after discovering that his wife Cynthia had an affair with the rich businessman. The Commander surrenders himself to the Police immediately and admits to have killed Vikram but pleads 'not guilty' in court. Is he convicted or acquitted?Decorated Officer. Devoted Family Man. Defending His Honor. His Name Is RUSTOM.",2016,"Rustom Pavri, an honourable officer of the Indian Navy shoots his friend Vikram  to death after discovering that his wife Cynthia had an affair with the rich businessman. The Commander surrenders himself to the Police immediately and admits to have killed Vikram but pleads 'not guilty' in court. Is he convicted or acquitted?","['Thriller', 'Romance']",rustom pavri an honourable officer of the indian navy shoots his friend vikram  to death after discovering that his wife cynthia had an affair with the rich businessman the commander surrenders himself to the police immediately and admits to have killed vikram but pleads not guilty in court is he convicted or acquitteddecorated officer devoted family man defending his honor his name is rustom,https://www.themoviedb.org/movie/392572
40058,402672,Mohenjo Daro,"Village lad Sarman is drawn to big, bad Mohenjo Daro - and its mascot Chaani. But Chaani must wed Munja, son of Mohenjo Daro's ruler, Maham. Will Sarman find love - and more - in Mohenjo Daro?",2016,"Village lad Sarman is drawn to big, bad Mohenjo Daro - and its mascot Chaani. But Chaani must wed Munja, son of Mohenjo Daro's ruler, Maham. Will Sarman find love - and more - in Mohenjo Daro?","['Adventure', 'Drama', 'History', 'Romance']",village lad sarman is drawn to big bad mohenjo daro  and its mascot chaani but chaani must wed munja son of mohenjo daros ruler maham will sarman find love  and more  in mohenjo daro,https://www.themoviedb.org/movie/402672
40224,315011,Shin Godzilla,"From the mind behind Evangelion comes a hit larger than life.  When a massive, gilled monster emerges from the deep and tears through the city, the government scrambles to save its citizens.  A rag-tag team of volunteers cuts through a web of red tape to uncover the monster's weakness and its mysterious ties to a foreign superpower.  But time is not on their side - the greatest catastrophe to ever befall the world is about to evolve right before their very eyes.A god incarnate. A city doomed.",2016,"From the mind behind Evangelion comes a hit larger than life.  When a massive, gilled monster emerges from the deep and tears through the city, the government scrambles to save its citizens.  A rag-tag team of volunteers cuts through a web of red tape to uncover the monster's weakness and its mysterious ties to a foreign superpower.  But time is not on their side - the greatest catastrophe to ever befall the world is about to evolve right before their very eyes.","['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction']",from the mind behind evangelion comes a hit larger than life  when a massive gilled monster emerges from the deep and tears through the city the government scrambles to save its citizens  a ragtag team of volunteers cuts through a web of red tape to uncover the monsters weakness and its mysterious ties to a foreign superpower  but time is not on their side  the greatest catastrophe to ever befall the world is about to evolve right before their very eyesa god incarnate a city doomed,https://www.themoviedb.org/movie/315011
40503,391698,The Beatles: Eight Days a Week - The Touring Years,"The band stormed Europe in 1963, and, in 1964, they conquered America. Their groundbreaking world tours changed global youth culture forever and, arguably, invented mass entertainment as we know it today. All the while, the group were composing and recording a series of extraordinarily successful singles and albums. However the relentless pressure of such unprecedented fame, that in 1966 became uncontrollable turmoil, led to the decision to stop touring. In the ensuing years The Beatles were then free to focus on a series of albums that changed the face of recorded music.The band you know. The story you don't.",2016,"The band stormed Europe in 1963, and, in 1964, they conquered America. Their groundbreaking world tours changed global youth culture forever and, arguably, invented mass entertainment as we know it today. All the while, the group were composing and recording a series of extraordinarily successful singles and albums. However the relentless pressure of such unprecedented fame, that in 1966 became uncontrollable turmoil, led to the decision to stop touring. In the ensuing years The Beatles were then free to focus on a series of albums that changed the face of recorded music.","['Documentary', 'Music']",the band stormed europe in  and in  they conquered america their groundbreaking world tours changed global youth culture forever and arguably invented mass entertainment as we know it today all the while the group were composing and recording a series of extraordinarily successful singles and albums however the relentless pressure of such unprecedented fame that in  became uncontrollable turmoil led to the decision to stop touring in the ensuing years the beatles were then free to focus on a series of albums that changed the face of recorded musicthe band you know the story you dont,https://www.themoviedb.org/movie/391698
23472,177677,Mission: Impossible - Rogue Nation,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.Desperate Times. Desperate Measures.",2015,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.","['Action', 'Adventure', 'Thriller']",ethan and team take on their most impossible mission yet eradicating the syndicate  an international rogue organization as highly skilled as they are committed to destroying the imfdesperate times desperate measures,https://www.themoviedb.org/movie/177677
23896,76757,Jupiter Ascending,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…Expand your universe.",2015,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…","['Science Fiction', 'Fantasy', 'Action', 'Adventure']",in a universe where human genetic material is the most precious commodity an impoverished young earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…expand your universe,https://www.themoviedb.org/movie/76757
24482,264660,Ex Machina,"Caleb, a 26 year old coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.There is nothing more human than the will to survive",2015,"Caleb, a 26 year old coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.","['Drama', 'Science Fiction']",caleb a  year old coder at the worlds largest internet company wins a competition to spend a week at a private mountain retreat belonging to nathan the reclusive ceo of the company but when caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the worlds first true artificial intelligence housed in the body of a beautiful robot girlthere is nothing more human than the will to survive,https://www.themoviedb.org/movie/264660
25084,135397,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.The park is open.",2015,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","['Action', 'Adventure', 'Science Fiction', 'Thriller']",twentytwo years after the events of jurassic park isla nublar now features a fully functioning dinosaur theme park jurassic world as originally envisioned by john hammondthe park is open,https://www.themoviedb.org/movie/135397
25206,294254,Maze Runner: The Scorch Trials,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.The Maze Was Just the Beginning.",2015,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.",['Action'],thomas and his fellow gladers face their greatest challenge yet searching for clues about the mysterious and powerful organization known as wckd their journey takes them to the scorch a desolate landscape filled with unimaginable obstacles teaming up with resistance fighters the gladers take on wckd’s vastly superior forces and uncover its shocking plans for them allthe maze was just the beginning,https://www.themoviedb.org/movie/294254
25534,207703,Kingsman: The Secret Service,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.Manners maketh man.,2015,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,"['Crime', 'Comedy', 'Action', 'Adventure']",the story of a supersecret spy organization that recruits an unrefined but promising street kid into the agencys ultracompetitive training program just as a global threat emerges from a twisted tech geniusmanners maketh man,https://www.themoviedb.org/movie/207703
25797,198184,Chappie,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.I am consciousness. I am alive. I am Chappie.",2015,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.","['Crime', 'Action', 'Science Fiction']",every child comes into the world full of promise and none more so than chappie he is gifted special a prodigy like any child chappie will come under the influence of his surroundings—some good some bad—and he will rely on his heart and soul to find his way in the world and become his own man but theres one thing that makes chappie different from any one else he is a roboti am consciousness i am alive i am chappie,https://www.themoviedb.org/movie/198184
25836,201088,Blackhat,A man is released from prison to help American and Chinese authorities pursue a mysterious cyber criminal. The dangerous search leads them from Chicago to Hong Kong.We are no longer in control.,2015,A man is released from prison to help American and Chinese authorities pursue a mysterious cyber criminal. The dangerous search leads them from Chicago to Hong Kong.,"['Crime', 'Drama', 'Mystery']",a man is released from prison to help american and chinese authorities pursue a mysterious cyber criminal the dangerous search leads them from chicago to hong kongwe are no longer in control,https://www.themoviedb.org/movie/201088
25865,87101,Terminator Genisys,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.Reset the future",2015,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.","['Science Fiction', 'Action', 'Thriller', 'Adventure']",the year is  john connor leader of the resistance continues the war against the machines at the los angeles offensive johns fears of the unknown future begin to emerge when tecom spies reveal a new plot by skynet that will attack him from both fronts past and future and will ultimately change warfare foreverreset the future,https://www.themoviedb.org/movie/87101
26031,270303,It Follows,"For 19-year-old Jay, fall should be about school, boys and weekends out at the lake. But a seemingly innocent physical encounter turns sour and gives her the inescapable sense that someone, or something, is following her. Faced with this burden, Jay and her teenage friends must find a way to escape the horror that seems to be only a few steps behind.It doesn't think, it doesn't feel, it doesn't give up",2015,"For 19-year-old Jay, fall should be about school, boys and weekends out at the lake. But a seemingly innocent physical encounter turns sour and gives her the inescapable sense that someone, or something, is following her. Faced with this burden, Jay and her teenage friends must find a way to escape the horror that seems to be only a few steps behind.","['Horror', 'Thriller']",for  jay fall should be about school boys and weekends out at the lake but a seemingly innocent physical encounter turns sour and gives her the inescapable sense that someone or something is following her faced with this burden jay and her teenage friends must find a way to escape the horror that seems to be only a few steps behindit doesnt think it doesnt feel it doesnt give up,https://www.themoviedb.org/movie/270303
26553,76341,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.What a Lovely Day.",2015,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.","['Action', 'Adventure', 'Science Fiction', 'Thriller']",an apocalyptic story set in the furthest reaches of our planet in a stark desert landscape where humanity is broken and most everyone is crazed fighting for the necessities of life within this world exist two rebels on the run who just might be able to restore order theres max a man of action and a man of few words who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos and furiosa a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homelandwhat a lovely day,https://www.themoviedb.org/movie/76341
26555,140607,Star Wars: The Force Awakens,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.Every generation has a story.",2015,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.","['Action', 'Adventure', 'Science Fiction', 'Fantasy']",thirty years after defeating the galactic empire han solo and his allies face a new threat from the evil kylo ren and his army of stormtroopersevery generation has a story,https://www.themoviedb.org/movie/140607
